id,code,name
AC01,AC01,IncorrectAccountNumber
AC04,AC04,ClosedAccountNumber
AC06,AC06,BlockedAccount
AG01,AG01,TransactionForbidden
AG02,AG02,InvalidBankOperationCode
AM02,AM02,NotAllowedAmount
AM03,AM03,NotAllowedCurrency
AM05,AM05,Duplication
BE01,BE01,InconsistenWithEndCustomer
BE04,BE04,MissingCreditorAddress
BE05,BE05,UnrecognisedInitiatingParty
BE06,BE06,UnknownEndCustomer
BE07,BE07,MissingDebtorAddress
DT01,DT01,InvalidDate
FF01,FF01,InvalidFileFormat
MD01,MD01,NoMandate
MD02,MD02,MissingMandatoryInformationInMandate
MD07,MD07,EndCustomerDeceased
MD08,MD08,NoMandateServiceByAgent
MD09,MD09,NoMandateServiceOnCustomer
MD10,MD10,NoMandateServiceForSpecified
MD11,MD11,UnrecognisedAgent
MD12,MD12,NotUniqueMandateReference
MD13,MD13,IncorrectCustomerAuthentication
MD14,MD14,IncorrectAgent
MD15,MD15,IncorrectCurrency
MD16,MD16,RequestedByCustomer
MD17,MD17,RequestedByInitiatingParty
MD18,MD18,RequestedByInitiatingPartyAndCustomer
MD19,MD19,MandateCancelledDueToEarlySettlement
MD20,MD20,MandateExpired
MD21,MD21,MandateCancelledDueToFraud
MD22,MD22,MandateInitiationCancelled
MD23,MD23,MandateAmendmentCancelled
MS02,MS02,NotSpecifiedReasonCustomerGenerated
MS03,MS03,NotSpecifiedReasonAgentGenerated
NARR,NARR,Narrative
RC01,RC01,BankIdentifierIncorrect
RF01,RF01,NotUniqueTransactionReference
RR01,RR01,MissingDebtorAccountOrIdentification
RR02,RR02,MissingDebtorNameOrAddress
RR03,RR03,MissingCreditorNameOrAddress
RR04,RR04,RegulatoryReason
SL01,SL01,SpecificServiceOfferedByDebtorAgent
SL11,SL11,CreditorNotOnWhitelistOfDebtor
SL12,SL12,CreditorOnBlacklistOfDebtor
SL13,SL13,MaximumNumberOfDirectDebitTransactionsExceeded
SL14,SL14,MaximumDirectDebitTransactionAmountExceeded
